"","times_snp_appears"
"186218",1
"186221",1
"186224",1
"186231",1
"186233",1
"186243",1
"186248",1
"186251",1
"186260",1
"186264",1
"186266",1
"186269",1
"186270",1
"186272",1
"186273",1
"186285",1
"186288",1
"186290",1
"186293",1
"186314",2
"186315",2
"186320",3
"186323",3
"186326",3
"186329",3
"186347",2
"186353",2
"186359",2
"186365",1
"186368",6
"186374",4
"186377",2
"186383",1
"186386",1
"186389",1
"186390",1
"186392",1
"186398",1
"186401",1
"186404",1
"186407",1
"186416",9
"186420",1
"186425",1
"186428",1
"186443",7
"186479",1
"186485",1
"186518",1
"186551",1
"186557",4
"186563",7
"186569",4
"186572",6
"186584",5
"186587",6
"186599",4
"186617",5
"186623",5
"186626",5
"186638",5
"186644",2
"186647",2
"186650",2
"186653",2
"186662",2
"186668",2
"186674",2
"186680",2
"186683",2
"186686",2
"186689",2
"186692",2
"186695",2
"186698",2
"186701",2
"186714",2
"186722",2
"186725",2
"186734",2
"186734.1",2
"186743",2
"186749",2
"186752",2
"186755",2
"186767",2
"186767.1",1
"186779",2
"186780",2
"186789",2
"186816",2
"186833",2
"186836",3
"186848",2
"186860",2
"186863",2
"186866",2
"186869",2
"186870",2
"186872",4
"186881",3
"186884",2
"186890",3
"186893",3
"186896",2
"186902",7
"186914",2
"186923",2
"186926",2
"186929",2
"186932",2
"186953",2
"186954",2
"186956",2
"186965",2
"186966",2
"186968",2
"186975",1
"186989",2
"186992",2
"186998",2
"187001",2
"187003",2
"187016",2
"187019",2
"187022",2
"187028",2
"187031",2
"187034",2
"187037",2
"187043",2
"187058",3
"187073",3
"187076",2
"187079",2
"187088",2
"187097",2
"187106",2
"187115",2
"187119",2
"187121",2
"187139",2
"187148",2
"187151",2
"187163",2
"187164",2
"187166",2
"187181",2
"187187",2
"187188",2
"187202",2
"187214",2
"187215",2
"187217",2
"187226",2
"187232",2
"187235",2
"187238",2
"187239",2
"187249",1
"187259",6
"187260",4
"187265",4
"187267",2
"187271",2
"187272",1
"187274",2
"187286",2
"187289",2
"187295",2
"187298",2
"187301",2
"187331",2
"187337",2
"187346",1
"187355",2
"187358",2
"187361",2
"187367",2
"187376",2
"187379",2
"187391",2
"187394",2
"187397",1
"187415",1
"187418",1
"187421",1
"187427",1
"187430",1
"187433",1
"187434",1
"187436",1
"187439",1
"187454",2
"187460",2
"187464",2
"187466",2
"187472",2
"187475",2
"187484",2
"187487",2
"187517",2
"187520",2
"187523",2
"187526",2
"187538",2
"187546",2
"187547",2
"187549",2
"187553",2
"187554",2
"187555",2
"187556",2
"187565",2
"187577",3
"187581",3
"187592",2
"187601",2
"187619",5
"187625",2
"187626",2
"187631",2
"187637",2
"187640",2
"187643",2
"187646",2
"187658",2
"187664",2
"187667",2
"187676",2
"187688",1
"187691",1
"187691.1",2
"187693",1
"187694",1
"187702",1
"187706",1
"187711",1
"187721",1
"187725",1
"187727",1
"187744",1
"187786",2
"187919",4
"187937",2
"187940",2
"187961",2
"187962",2
"187967",2
"187976",2
"187978",2
"187979",2
"187988",2
"187997",2
"188003",2
"188006",2
"188154",2
"188243",1
"188249",1
"188252",1
"188255",1
"188261",1
"188266",1
"188267",1
"188273",1
"188276",1
"188278",1
"188282",1
"188285",1
"188294",5
"188303",5
"188309",5
"188315",5
"188327",5
"188339",5
"188348",5
"188350",7
"188351",5
"188357",5
"188359",5
"188372",6
"188381",4
"188384",4
"188387",4
"188393",4
"188398",6
"188399",6
"188425",2
"188434",1
"188440",1
"188441",1
"188477",1
"188484",2
"188492",2
"188507",1
"188510",1
"188522",1
"188525",1
"188528",1
"188532",1
"188533",1
"188534",2
"188537",1
"188546",1
"188552",1
"188558",1
"188560",1
"188561",1
"188567",1
"188570",1
"188576",1
"188578",1
"188585",1
"188591",1
"188597",1
"188603",1
"188612",1
"188618",1
"188619",1
"188621",1
"188633",1
"188635",1
"188636",1
"188642",1
"188644",1
"188648",1
"188666",2
"188669",2
"188681",2
"188690",2
"188696",2
"188699",2
"188708",1
"188714",3
"188720",4
"188729",3
"188735",3
"188747",2
"188749",2
"188750",2
"188753",2
"188762",2
"188768",2
"188771",2
"188777",3
"188783",2
"188786",2
"188795",2
"188822",2
"188825",2
"188837",2
"188861",2
"188864",3
"188866",3
"188867",6
"188870",6
"188872",3
"188873",6
"188879",2
"188891",2
"188900",1
"188903",2
"188906",2
"188909",2
"188924",2
"188933",2
"188936",2
"188945",2
"188960",2
"188966",2
"188972",2
"188990",1
"189050",2
"189071",2
"189078",2
"189080",4
"189149",1
"189178",1
"189243",1
"189374",4
"189392",2
"189395",2
"189416",2
"189462",2
"189465",1
"189468",2
"189477",2
"189483",2
"189489",2
"189492",2
"189493",2
"189494",2
"189498",1
"189498.1",2
"189502",2
"189504",2
"189513",2
"189531",2
"189546",2
"189554",1
"189564",2
"189573",2
"189575",2
"189576",2
"189597",2
"189602",2
"189608",2
"189610",2
"189612",2
"189617",2
"189618",2
"189627",2
"189645",2
"189651",3
"189659",3
"189660",0
"189666",3
"189667",3
"189674",4
"189675",4
"189687",2
"189690",2
"189696",2
"189707",2
"189723",2
"189728",0
"189735",2
"189744",2
"189768",2
"189774",2
"189798",3
"189804",2
"189813",2
"189819",2
"189824",2
"189834",3
"189840",3
"189849",4
"189858",4
"189861",1
"189867",0
"189873",2
"189876",2
"189879",2
"189885",2
"189888",1
"189891",2
"189894",2
"189906",2
"189915",2
"189924",2
"189925",2
"189926",2
"189930",2
"189936",2
"189942",2
"189948",2
"189951",2
"189957",2
"189966",2
"189970",2
"189972",2
"189978",2
"189990",2
"189991",2
"189993",2
"189996",1
"189996.1",1
"190002",2
"190005",2
"190011",2
"190020",2
"190024",2
"190029",2
"190044",1
"190173",1
"190185",1
"190191",1
"190209",1
"190358",1
"190401",3
"190407",3
"190422",3
"190434",3
"190468",1
"190494",1
"190541",3
"190551",3
"190554",3
"190569",2
"190572",2
"190575",2
"190578",2
"190584",2
"190586",2
"190590",2
"190593",2
"190598",1
"190605",3
"190611",6
"190624",4
"190626",5
"190632",4
"190638",4
"190660",1
"190662",8
"190663",5
"190668",5
"190671",5
"190672",5
"190680",5
"190692",6
"190695",1
"190696",1
"190820",3
"190827",8
"190833",3
"190834",8
"190848",2
"190857",3
"190859",3
"190860",3
"190875",1
"190881",2
"190928",1
"190942",3
"190944",3
"190947",3
"190950",3
"190951",3
"190952",3
"190962",2
"190963",2
"190974",2
"190977",2
"190980",2
"191001",2
"191004",2
"191011",2
"191016",2
"191025",3
"191028",2
"191042",2
"191073",2
"191089",2
"191118",2
"191169",1
"191188",1
"191389",1
"191527",1
"191993",3
"192186",1
"192249",1
"192288",1
"192303",0
"192521",1
"192536",1
"192610",1
"192742",0
"192893",1
"193010",1
"193016",1
"193070",1
"193152",1
"193210",1
"193234",1
"193321",2
"193338",2
"193379",1
"193446",1
"193544",1
"193574",1
"193577",2
"193592",2
"193697",1
"193847",2
"193861",2
"193863",2
"194095",2
"194337",2
"194515",1
"194539",2
"194548",1
"194692",1
"194699",2
"194702",2
"194729",0
"194846",2
"194864",2
"194939",1
"195011",1
"195020",1
"195080",1
"195093",3
"195188",2
"195279",2
"195334",1
"195341",2
"195392",1
"195428",1
"195437",1
"195480",1
"195503",1
"195753",1
"195948",1
"195986",1
"196118",1
"196121",1
"196131",1
"196132",1
"196139",1
"196144",0
"196148",1
"196172",1
"196184",1
"196200",1
"196203",1
"196205",1
"196208",1
"196214",1
"196217",1
"196226",1
"196230",1
"196232",1
"196235",1
"196238",1
"196251",1
"196253",1
"196256",1
"196262",1
"196263",1
"196277",1
"196283",1
"196286",1
"196295",1
"196298",1
"196352",1
"196358",1
"196362",2
"196367",1
"196370",1
"196376",1
"196382",1
"196383",1
"196385",1
"196395",1
"196398",1
"196407",1
"196409",1
"196418",1
"196419",1
"196421",1
"196433",1
"196434",1
"196436",1
"196440",1
"196443",1
"196454",1
"196470",1
"196476",1
"196490",1
"196535",1
"196536",1
"196538",1
"196544",1
"196550",1
"196553",1
"196554",1
"196555",1
"196556",1
"196562",1
"196571",1
"196577",1
"196601",1
"196622",1
"196628",1
"196643",1
"196670",0
"196682",1
"196697",1
"196700",1
"196703",1
"196712",1
"196718",1
"196721",1
"196728",1
"196730",2
"196733",2
"196739",1
"196745",1
"196746",1
"196748",1
"196751",5
"196763",1
"196766",1
"196772",1
"196775",1
"196820",2
"196838",2
"196844",2
"196856",2
"196865",2
"196895",1
"196896",1
"196897",1
"196898",1
"196904",1
"196907",1
"196913",1
"196915",1
"196920",1
"196928",1
"196931",1
"196939",1
"196949",1
"196970",1
"196976",1
"196982",1
"196991",1
"197012",1
"197069",1
"197073",1
"197081",1
"197099",1
"197106",1
"197107",1
"197108",1
"197117",1
"197118",1
"197120",1
"197121",1
"197123",1
"197129",1
"197133",1
"197135",1
"197141",1
"197145",1
"197147",1
"197171",1
"197174",1
"197175",1
"197186",1
"197189",1
"197223",1
"197226",1
"197228",1
"197229",1
"197230",1
"197231",1
"197237",1
"197240",1
"197270",1
"197273",1
"197282",1
"197285",1
"197289",2
"197294",1
"197305",1
"197322",1
"197327",1
"197329",1
"197348",1
"197354",1
"197375",1
"197376",1
"197400",1
"197402",1
"197405",1
"197408",1
"197418",1
"197424",1
"197426",1
"197429",1
"197435",1
"197438",1
"197447",1
"197456",1
"197457",1
"197471",2
"197486",3
"197492",2
"197495",1
"197501",1
"197507",1
"197528",1
"197531",1
"197537",1
"197552",1
"197567",1
"197586",2
"197753",0
"197817",2
"197974",1
"198164",1
"198196",2
"198237",1
"198524",1
"198589",1
"198776",1
"198812",1
"198828",1
"199215",1
"199221",1
"199227",1
"199349",1
"199474",1
"199517",1
"199597",1
"199655",1
"199796",1
"199898",1
"199961",1
"199985",1
"200003",1
"200006",1
"200049",1
"200234",1
"200267",1
"200387",1
"200644",1
"200860",2
"200865",1
"200866",2
"200868",2
"200869",2
"200878",1
"200884",1
"200887",2
"200933",1
"200934",4
"200935",4
"200952",2
"200962",1
"200976",1
"200985",1
"200994",3
"201043",1
"201073",1
"201115",1
"201158",1
"201318",1
"201327",2
"201343",2
"201364",1
"201393",2
"201511",1
"201521",1
"201524",1
"201528",1
"201529",1
"201620",1
"201703",1
"201712",1
"201745",1
"201844",1
"201937",1
"202426",1
"202486",1
"202652",2
"202781",1
"202797",2
"202811",1
"202931",2
"203037",2
"203068",1
"203069",2
"203124",0
"203151",1
"203157",0
"203178",2
"203191",2
"203195",2
"203196",2
"203226",2
"203400",1
"203528",1
"203532",0
"203544",1
"203546",1
"203654",1
"203664",1
"203705",2
"203734",1
"203745",0
"203750",1
"203758",0
"203761",1
"203762",0
"203771",1
"203789",1
"203795",4
"203798",2
"203816",0
"203822",0
"203825",0
"203831",0
"203832",0
"203834",0
"204041",2
"204058",1
"204206",1
"204248",2
"204251",1
"204257",2
"204266",2
"204278",2
"204281",2
"204320",1
"204324",1
"204350",2
"204425",1
"204503",1
"204527",1
"204684",1
"204692",1
"204755",1
"205004",4
"205012",1
"205060",1
"205079",1
"205121",1
"205233",1
"205262",1
"205280",1
"205334",1
"205358",0
"205396",2
"205402",2
"205403",5
"205440",1
"205534",1
"205577",2
"205591",2
"205609",2
"205624",1
"205651",2
"205666",2
"205670",0
"205678",2
"205810",2
"205816",0
"205828",2
"205834",2
"205843",2
"205846",2
"205852",2
"205864",1
"205873",1
"205885",1
"205891",1
"205894",1
"205903",2
"205912",1
"206008",0
"206017",0
"206020",0
"206047",1
"206114",0
"206131",0
"206143",0
"206158",0
"206167",0
"206179",0
"206188",1
"206203",1
"206224",2
"206269",2
"206275",2
"206278",2
"206290",2
"206291",2
"206293",2
"206296",2
"206299",2
"206303",2
"206305",2
"206308",0
"206314",2
"206344",0
"206350",0
"206499",1
"206512",2
"206516",2
"206518",2
"206521",2
"206527",2
"206539",2
"206557",1
"206566",1
"206569",1
"206578",4
"206579",4
"206580",4
"206581",4
"206584",3
"206596",2
"206599",2
"206605",2
"206611",2
"206614",2
"206617",2
"206631",1
"206632",1
"206635",1
"206640",1
"206674",1
"206678",1
"206680",1
"206701",0
"206704",0
"206713",0
"206722",0
"206723",0
"206727",0
"206731",0
"206818",1
"206821",1
"206977",0
"207055",0
"207064",0
"207076",0
"207080",0
"207094",1
"207280",2
"207313",0
"207503",0
"207539",1
"207931",1
"207980",1
"208031",1
"208058",2
"208316",0
"208376",0
"208379",0
"208380",0
"208382",0
"208454",0
"208475",0
"208527",6
"208599",3
"208608",7
"208646",3
"208663",2
"208910",1
"209002",1
"209030",1
"209166",1
"209171",1
"209196",1
"209327",1
"209330",1
"209333",1
"209345",1
"209357",1
"209594",1
"209657",3
"209681",2
"209878",1
"209881",1
"209884",6
"209910",1
"209917",0
"209920",0
"209938",1
"209968",1
"209971",1
"209977",1
"209995",1
"209998",1
"210010",1
"210034",1
"210037",2
"210043",2
"210055",2
"210058",3
"210067",3
"210070",3
"210073",3
"210082",2
"210085",2
"210088",2
"210094",2
"210098",1
"210133",4
"210160",1
"210169",1
"210172",1
"210184",1
"210187",2
"210193",2
"210196",2
"210202",6
"210283",1
"210292",0
"210298",0
"210301",0
"210302",0
"210304",0
"210307",0
"210313",0
"210314",0
"210325",0
"210400",3
"210412",3
"210451",3
"210790",1
"210880",1
"210882",1
"210886",1
"210898",1
"210904",1
"210911",1
"210914",2
"210916",1
"210919",1
"210925",1
"210952",0
"210955",0
"210964",0
"210976",0
"210982",0
"211174",1
"211425",1
"211525",0
"211590",3
"211644",1
"211830",1
"211923",1
"211957",1
"212604",1
"212975",1
"213138",0
"213222",0
"213245",3
"213249",0
"213261",0
"213267",0
"213281",0
"213351",0
"213354",0
"213355",2
"213369",0
"213372",0
"213375",0
"213378",0
"213390",0
"213417",0
"213420",0
"213585",1
"213588",3
"213597",3
"213604",1
"213609",3
"213615",0
"213639",0
"213756",0
"213792",0
"213801",0
"213807",0
"213816",0
"213837",2
"213843",2
"213846",2
"213855",3
"213861",3
"213873",3
"213876",3
"213879",3
"213894",0
"213897",0
"213902",0
"213915",0
"213921",0
"213927",0
"213933",0
"213936",0
"213939",0
"213942",0
"213945",0
"213954",0
"213960",0
"213963",0
"213966",0
"213968",6
"213990",0
"213993",0
"214011",0
"214092",0
"214131",2
"214133",1
"214150",2
"214153",4
"214157",0
"214175",0
"214177",0
"214191",0
"214204",2
"214223",0
"214235",0
"214236",0
"214243",0
"214246",0
"214248",0
"214268",1
"214269",1
"214286",0
"214290",0
"214302",2
"214367",1
"214611",1
"214628",1
"214640",3
"214673",5
"214816",1
"214817",1
"214823",2
"214823.1",4
"214824",1
"214843",1
"214867",1
"214875",1
"214877",2
"214895",1
"214936",2
"214947",3
"215152",1
"215235",1
"215253",1
"215340",1
"215348",1
"215382",2
"215478",4
"215623",1
"215648",1
"215676",4
"215887",1
"215888",1
"215950",1
"215985",5
"216007",5
"216170",3
"216251",1
"216384",1
"216400",1
"216482",3
"216489",1
"216528",8
"216546",1
"216636",1
"216682",4
"216690",2
"216721",1
"216733",1
"216740",2
"216763",1
"217337",1
"217406",1
"217574",1
"217684",1
"217759",1
"217813",1
"218096",0
"218109",2
"218126",1
"218314",3
"218404",1
"218475",1
"218561",1
"218593",2
"218905",1
"219120",2
"219152",2
"219379",0
"219415",0
"219418",0
"219424",0
"219427",0
"219436",0
"219442",3
"219448",3
"219451",3
"219460",0
"219463",0
"219466",0
"219469",0
"219470",0
"219472",0
"219475",5
"219487",2
"219499",1
"219511",2
"219520",4
"219521",0
"219523",0
"219525",0
"219532",0
"219536",0
"219538",0
"219541",0
"219550",1
"219793",8
"219799",8
"219808",8
"219820",3
"219821",8
"219823",8
"219829",3
"219832",8
"219833",3
"219835",3
"219838",9
"219854",4
"219859",5
"219871",6
"219874",5
"219880",5
"219883",5
"219886",5
"219907",3
"219911",3
"219922",6
"219925",5
"219928",5
"219934",6
"219943",6
"219946",5
"219955",8
"219958",1
"219964",3
"219967",4
"219970",7
"219976",4
"219977",7
"219979",4
"219982",4
"219989",4
"220003",1
"220007",1
"220008",1
"220009",1
"220021",1
"220027",1
"220033",2
"220054",1
"220060",3
"220063",3
"220072",1
"220078",1
"220090",8
"220093",1
"220096",8
"220105",1
"220114",0
"220119",0
"220123",0
"220126",0
"220129",0
"220135",1
"220156",2
"220157",8
"220165",8
"220168",8
"220177",3
"220181",3
"220189",1
"220192",1
"220199",1
"220204",1
"220207",1
"220214",1
"220216",1
"220219",1
"220222",1
"220225",1
"220226",1
"220234",1
"220244",1
"220252",1
"220255",1
"220256",1
"220294",1
"220297",1
"220301",1
"220303",1
"220312",1
"220316",1
"220333",2
"220336",2
"220342",2
"220345",2
"220346",2
"220347",2
"220348",2
"220356",2
"220363",2
"220366",2
"220367",2
"220371",2
"220381",1
"220390",1
"220399",1
"220405",1
"220411",1
"220414",1
"220417",1
"220420",1
"220426",1
"220429",1
"220435",1
"220444",2
"220447",2
"220450",2
"220453",3
"220456",7
"220462",0
"220468",0
"220471",1
"220480",0
"220486",0
"220507",0
"220517",0
"220522",0
"220532",0
"220540",0
"220543",0
"220558",0
"220570",0
"220573",0
"220579",0
"220594",0
"220597",0
"220604",0
"220609",0
"220615",0
"220624",0
"220630",0
"220636",0
"220645",0
"220654",0
"220657",0
"220667",0
"220684",0
"220687",0
"220690",0
"220693",0
"220699",0
"220711",0
"220714",0
"220738",0
"220741",0
"220744",0
"220759",0
"220780",0
"220783",0
"220786",2
"220789",0
"220795",0
"220805",6
"220809",5
"220810",5
"220814",3
"220815",5
"220821",5
"220822",5
"220825",5
"220837",1
"220849",1
"220855",6
"220858",1
"220861",1
"220864",1
"220867",1
"220870",1
"220871",1
"220873",1
"220876",1
"220879",1
"220885",1
"220886",1
"220888",1
"220897",0
"220912",9
"220918",0
"220927",0
"220936",8
"220939",8
"220942",1
"221059",0
"221064",1
"221065",0
"221068",0
"221071",0
"221083",0
"221092",1
"221098",5
"221107",1
"221134",1
"221177",1
"221236",0
"221251",0
"221252",0
"221275",0
"221281",0
"221284",0
"221287",0
"221287.1",2
"221296",0
"221310",6
"221311",0
"221314",6
"221323",0
"221325",0
"221326",6
"221332",0
"221335",6
"221338",6
"221345",6
"221347",0
"221353",1
"221372",2
"221374",2
"221386",1
"221387",1
"221389",1
"221390",1
"221392",1
"221396",1
"221410",1
"221416",1
"221422",1
"221431",1
"221434",1
"221494",3
"221503",3
"221509",4
"221518",8
"221522",5
"221539",8
"221545",2
"221546",2
"221555",2
"221557",2
"221563",2
"221572",3
"221581",0
"221582",6
"221587",6
"221602",1
"221686",1
"221741",1
"221824",2
"221830",1
"221836",1
"221837",1
"221842",1
"221851",3
"221854",1
"221869",1
"221875",1
"221896",2
"221899",2
"221908",2
"221911",2
"221914",2
"221917",2
"221932",1
"221935",1
"221940",1
"221941",1
"221944",1
"221947",1
"221956",1
"221958",1
"221964",1
"221972",2
"221974",1
"221978",1
"221989",3
"221992",3
"221993",3
"221998",6
"221999",3
"222004",6
"222013",5
"222016",5
"222019",8
"222028",8
"222030",7
"222055",7
"222065",0
"222066",0
"222112",1
"222186",0
"222201",1
"222213",1
"222231",0
"222252",0
"222255",0
"222261",0
"222273",1
"222306",1
"222312",1
"222318",1
"222327",1
"222345",1
"222360",0
"222363",0
"222366",0
"222375",0
"222387",0
"222402",0
"222405",0
"222408",0
"222417",0
"222420",0
"222435",0
"222441",1
"222442",1
"222445",1
"222447",1
"222450",1
"222480",1
"222481",1
"222483",1
"222487",1
"222488",1
"222489",1
"222495",1
"222501",1
"222504",1
"222505",2
"222522",1
"222528",1
"222549",1
"222552",1
"222564",0
"222565",0
"222567",0
"222576",2
"222579",4
"222600",0
"222615",2
"222618",3
"222636",0
"222637",0
"222639",0
"222645",0
"222654",0
"222657",0
"222672",0
"222678",0
"222681",0
"222687",0
"222690",0
"222693",0
"222717",0
"222720",0
"222827",1
"222867",2
"222868",2
"222870",2
"222873",2
"222885",2
"222900",1
"222906",1
"222936",1
"222942",1
"222948",1
"222966",1
"223056",1
"223089",1
"223095",1
"223146",1
"223149",1
"223300",1
"223308",1
"223371",0
"223372",0
"223374",0
"223380",1
"223384",1
"223398",1
"223401",1
"223512",1
"223521",1
"223538",1
"223668",1
"223674",1
"223680",1
"223692",1
"223731",1
"223749",1
"223789",1
"223790",1
"223921",1
"223968",1
"223974",1
"224209",1
"224278",0
"224294",1
"224376",1
"224447",1
"224495",0
"224514",1
"224524",1
"224839",1
"224922",1
"225570",1
"225646",0
"225653",1
"225764",2
"225772",1
"225775",1
"225776",1
"225778",1
"225784",1
"225786",1
"225794",1
"225802",1
"225808",1
"225811",1
"225817",1
"225820",1
"225823",1
"225835",1
"225838",1
"225841",1
"225844",1
"225847",1
"225853",1
"225856",1
"225859",1
"225862",1
"225865",1
"225874",4
"225886",4
"225889",4
"225904",0
"225905",0
"225913",0
"225931",5
"225937",5
"225949",4
"225953",1
"225958",4
"225967",2
"225970",2
"225973",2
"225976",2
"225979",2
"225982",1
"225988",1
"225994",1
"225997",1
"226006",1
"226012",1
"226021",1
"226024",1
"226028",1
"226030",1
"226032",1
"226048",1
"226054",1
"226060",2
"226063",2
"226066",2
"226069",2
"226078",2
"226081",2
"226084",2
"226087",2
"226090",2
"226093",2
"226102",6
"226105",6
"226112",6
"226117",0
"226123",0
"226135",0
"226147",0
"226171",6
"226174",4
"226180",3
"226208",0
"226217",0
"226243",0
"227956",0
"227960",0
"227962",0
"227963",0
"227964",0
"227964.1",2
"228037",0
"228090",0
"228343",1
"228527",1
"228538",1
"228587",2
"228637",2
"228739",1
"228778",0
"228853",1
"228960",1
"229015",1
"229066",1
"229243",0
"229340",1
"229493",1
"229501",3
"229616",0
"229872",1
"230077",1
"230083",2
"230249",1
"230403",1
"230434",2
"230467",1
"230470",0
"230473",1
"230476",1
"230497",1
"230739",1
"230757",2
"230808",2
"230814",1
"230853",1
"230859",1
"230892",2
"231207",1
"231280",1
"231432",0
"231671",2
"231749",1
"231756",1
"231839",1
"231860",2
"231919",0
"232102",1
"232144",1
"232200",1
"232236",2
"232285",2
"232315",2
"232323",1
"232480",1
"232586",1
"232719",2
"232750",1
"232846",1
"232892",1
"232893",3
"232894",1
"232895",1
"232920",1
"232921",1
"232942",3
"232956",1
"232966",1
"232972",1
"232975",1
"232982",1
"232984",1
"232988",1
"232989",1
"232999",1
"233011",1
"233023",1
"233030",1
"233031",1
"233032",1
"233048",1
"233050",1
"233064",1
"233065",1
"233080",1
"233082",1
"233089",1
"233091",1
"233092",1
"233093",1
"233101",1
"233102",1
"233158",1
"233167",1
"233170",1
"233392",1
"233397",2
"233398",4
"233400",1
"233420",1
"233424",1
"233528",1
"233820",2
"233892",1
"233987",2
"234022",1
"234114",1
"234138",1
"234216",3
"234253",3
"234418",1
"234423",1
"234484",2
"234487",2
"234488",2
"234513",1
"234668",2
"234697",2
"234908",1
"234968",1
"235050",1
"235136",1
"235159",1
"235176",0
"235178",0
"235182",0
"235189",0
"235191",0
"235196",0
"235211",0
"235268",1
"235363",1
"235501",1
"235616",1
"235674",1
"235700",1
"235773",2
"235776",2
"235778",2
"235787",1
"235793",1
"235794",2
"235797",2
"235800",2
"235806",2
"235807",1
"235818",2
"235820",2
"235827",2
"235833",2
"235839",2
"235842",2
"235896",2
"235950",1
"236009",1
"236038",2
"236083",1
"236086",1
"236089",1
"236095",2
"236104",2
"236236",1
"236268",2
"236368",3
"236460",1
"236484",1
"236598",1
"236640",1
"236769",2
"236842",1
"237013",0
"237085",1
"237148",1
"237277",1
"237423",0
"237586",1
"237633",1
"237645",1
"237651",1
"237654",1
"237666",1
"237672",1
"237673",1
"237675",1
"237681",1
"237684",1
"237693",1
"237699",1
"237702",1
"237797",2
"237819",2
"237831",2
"237861",2
"237934",2
"238054",1
"238150",0
"238165",0
"238172",2
"238267",1
"238309",0
"238336",0
"238339",0
"238438",1
"238442",1
"238465",4
"238525",1
"238533",1
"238904",1
"239023",2
"239106",0
"239163",2
"239196",2
"239199",2
"239256",2
"239259",2
"239260",2
"239262",2
"239290",2
"239292",2
"239295",2
"239307",1
"239316",1
"239328",1
"239331",1
"239334",1
"239355",1
"239358",1
"239373",1
"239517",1
"239529",1
"239535",1
"239619",2
"239766",1
"239781",1
"239796",1
"239826",2
"239850",2
"239853",2
"239856",2
"239862",2
"239868",2
"239871",2
"239877",2
"239883",2
"239892",2
"239907",2
"239913",1
"239916",1
"239919",1
"239967",1
"239974",1
"239985",1
"240012",1
"240015",1
"240063",1
"240069",2
"240072",3
"240075",3
"240076",3
"240078",3
"240085",2
"240090",2
"240097",2
"240099",2
"240102",2
"240105",2
"240120",1
"240123",1
"240153",1
"240168",1
"240178",1
"240186",1
"240198",1
"240207",1
"240210",1
"240213",2
"240252",1
"240255",1
"240264",1
"240270",1
"240289",2
"240328",2
"240329",2
"240334",2
"240341",2
"240356",0
"240357",4
"240358",0
"240473",0
"240569",1
"240587",1
"240590",1
"240656",1
"240893",2
"240950",2
"240972",2
"240986",1
"241044",2
"241097",0
"241516",1
"241541",1
"241714",3
"241767",2
"241792",3
"241795",1
"241801",3
"241810",3
"241837",2
"241840",3
"241844",3
"241846",4
"241847",4
"241849",3
"241849.1",3
"241855",3
"241855.1",3
"241857",1
"241859",2
"241859.1",2
"241867",4
"241871",2
"241875",2
"241876",2
"241883",4
"241885",1
"241900",2
"241903",2
"241908",2
"241909",1
"241914",1
"241918",1
"241921",1
"241922",3
"241924",3
"241927",1
"241930",1
"241933",1
"241934",4
"241939",1
"241940",1
"241941",1
"241942",1
"241942.1",4
"241943",4
"241944",4
"241962",1
"241975",4
"241978",4
"241981",2
"241996",4
"242004",2
"242009",2
"242041",3
"242045",3
"242050",3
"242054",2
"242056",2
"242065",2
"242065.1",1
"242068",2
"242071",2
"242072",1
"242074",1
"242080",1
"242081",2
"242084",2
"242089",4
"242090",2
"242092",4
"242096",6
"242098",6
"242101",3
"242112",2
"242113",3
"242119",2
"242125",2
"242128",7
"242140",4
"242141",5
"242143",2
"242155",7
"242157",3
"242158",2
"242167",2
"242182",3
"242187",3
"242188",3
"242191",3
"242200",3
"242206",3
"242263",2
"242278",2
"242281",2
"242360",1
"242466",0
"242469",1
"242472",1
"242538",1
"242547",1
"242553",2
"242556",2
"242559",2
"242577",1
"242589",1
"242643",4
"242653",1
"242658",1
"242664",2
"242700",1
"242702",2
"242709",1
"242745",1
"242860",1
"242910",1
"242916",1
"242922",1
"242949",1
"242952",1
"242964",1
"242991",2
"242997",1
"243003",2
"243012",2
"243015",1
"243021",1
"243024",1
"243036",1
"243060",1
"243063",1
"243069",1
"243084",1
"243108",1
"243126",1
"243127",1
"243129",1
"243135",1
"243141",1
"243143",1
"243159",1
"243162",1
"243165",1
"243170",1
"243177",1
"243183",1
"243186",1
"243187",1
"243188",1
"243195",1
"243216",1
"243222",1
"243234",1
"243246",1
"243252",2
"243255",2
"243258",1
"243273",1
"243285",1
"243288",1
"243294",1
"243309",2
"243321",2
"243339",1
"243342",1
"243345",1
"243351",1
"243354",1
"243357",1
"243363",0
"243366",1
"243371",1
"243372",1
"243378",1
"243384",1
"243390",0
"243393",0
"243396",1
"243399",1
"243402",0
"243405",1
"243408",1
"243420",1
"243438",1
"243453",2
"243456",2
"243462",2
"243465",2
"243477",1
"243480",3
"243483",3
"243495",1
"243501",2
"243507",2
"243510",1
"243519",1
"243522",1
"243525",1
"243528",1
"243531",1
"243537",2
"243539",1
"243549",1
"243558",1
"243570",1
"243579",1
"243581",1
"243585",1
"243591",2
"243594",2
"243600",2
"243651",1
"243654",2
"243660",2
"243666",3
"243669",6
"243696",3
"243793",1
"243859",2
"243883",1
"243961",2
"243962",2
"243967",2
"243972",2
"243983",3
"243984",3
"243993",1
"244004",2
"244043",2
"244046",2
"244070",2
"244081",2
"244097",1
"244097.1",1
"244102",2
"244103",2
"244112",1
"244118",1
